Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,23.985001,24.049999,23.955000,24.032000,24.032000,48
2020-12-14,24.160000,24.160000,23.985001,23.985001,23.985001,25
2020-12-15,24.075001,24.580999,24.075001,24.580999,24.580999,42
2020-12-16,25.150000,25.500000,24.820000,24.985001,24.985001,151
2020-12-17,25.450001,26.180000,25.450001,26.100000,26.100000,201
2020-12-18,26.120001,26.120001,25.948999,25.948999,25.948999,105
2020-12-21,26.004999,26.990000,25.410000,26.278000,26.278000,153
2020-12-22,26.475000,26.670000,25.275000,25.434000,25.434000,93
2020-12-23,25.555000,25.823999,25.555000,25.823999,25.823999,68
2020-12-24,null,null,null,null,null,null
2020-12-28,26.799999,26.820000,26.455000,26.459999,26.459999,140
2020-12-29,26.250000,26.250000,26.138000,26.138000,26.138000,191
2020-12-30,26.320000,26.525000,26.260000,26.488001,26.488001,77
2020-12-31,26.530001,26.540001,26.332001,26.332001,26.332001,36
2021-01-04,27.284000,27.284000,27.284000,27.284000,27.284000,52
2021-01-05,27.570999,27.570999,27.570999,27.570999,27.570999,4
2021-01-06,27.424999,27.424999,26.973000,26.973000,26.973000,50
2021-01-07,27.200001,27.200001,27.200001,27.200001,27.200001,3
2021-01-08,24.582001,25.325001,24.582001,24.582001,24.582001,3
2021-01-11,25.520000,25.520000,24.725000,25.239000,25.239000,11
2021-01-12,25.139999,25.385000,25.105000,25.384001,25.384001,90
2021-01-13,25.545000,25.545000,25.500000,25.520000,25.520000,211
2021-01-14,25.746000,25.746000,25.746000,25.746000,25.746000,66
2021-01-15,25.430000,25.469999,24.825001,24.825001,24.825001,88
2021-01-19,24.915001,25.278999,24.915001,25.278999,25.278999,4
2021-01-20,25.424999,25.733999,25.415001,25.733999,25.733999,151
2021-01-21,25.822001,25.822001,25.822001,25.822001,25.822001,0
2021-01-22,25.524000,25.540001,25.524000,25.524000,25.524000,10
2021-01-25,25.455000,25.455000,25.455000,25.455000,25.455000,5
2021-01-26,25.528999,25.528999,25.528999,25.528999,25.528999,92
2021-01-27,25.375999,25.375999,25.375999,25.375999,25.375999,610
2021-01-28,25.084999,27.010000,24.930000,25.909000,25.909000,508
2021-01-29,26.639999,27.575001,26.370001,26.900000,26.900000,32
2021-02-01,28.360001,30.160000,28.299999,29.398001,29.398001,474
2021-02-02,28.645000,28.930000,26.384001,26.384001,26.384001,91
2021-02-03,26.940001,27.025000,26.860001,26.878000,26.878000,143
2021-02-04,26.674999,26.674999,26.004999,26.223000,26.223000,114
2021-02-05,26.430000,27.014000,26.430000,27.014000,27.014000,58
2021-02-08,27.280001,27.570000,27.280001,27.570000,27.570000,6
2021-02-09,27.424999,27.445000,27.290001,27.396000,27.396000,5
2021-02-10,27.105000,27.105000,27.073999,27.073999,27.073999,32
2021-02-11,27.170000,27.170000,26.910000,27.042000,27.042000,3
2021-02-12,27.323000,27.323000,27.323000,27.323000,27.323000,0
2021-02-16,27.510000,27.510000,27.059999,27.319000,27.319000,64
2021-02-17,27.313999,27.313999,27.313999,27.313999,27.313999,125
2021-02-18,27.125000,27.125000,27.077000,27.077000,27.077000,2
2021-02-19,27.504999,27.549999,27.252001,27.252001,27.252001,8
2021-02-22,28.083000,28.100000,28.083000,28.083000,28.083000,248
2021-02-23,27.686001,27.686001,27.686001,27.686001,27.686001,8
2021-02-24,27.857000,27.857000,27.857000,27.857000,27.857000,73500
2021-02-25,28.030001,28.264999,27.295000,27.636999,27.636999,13035
2021-02-26,27.455000,27.559999,26.180000,26.402000,26.402000,1205
2021-03-01,26.690001,26.990000,26.490000,26.646999,26.646999,519
2021-03-02,26.385000,26.850000,25.860001,26.850000,26.850000,703
2021-03-03,26.805000,26.805000,25.934999,26.357000,26.357000,241
2021-03-04,26.120001,26.330000,25.209999,25.434000,25.434000,914
2021-03-05,25.344999,25.370001,24.905001,25.257000,25.257000,339
2021-03-08,25.520000,25.709999,25.000000,25.240000,25.240000,76
2021-03-09,25.225000,26.148001,25.225000,26.148001,26.148001,133
2021-03-10,26.010000,26.280001,25.780001,26.101999,26.101999,85
2021-03-11,26.150000,26.410000,26.040001,26.162001,26.162001,37
2021-03-12,26.145000,26.200001,25.459999,25.879999,25.879999,244
2021-03-15,26.200001,26.334999,25.924999,26.253000,26.253000,148
2021-03-16,26.129999,26.145000,25.920000,25.974001,25.974001,559
2021-03-17,25.805000,26.530001,25.795000,26.030001,26.030001,379
2021-03-18,26.434999,26.434999,25.900000,26.320999,26.320999,81
2021-03-19,26.055000,26.292000,26.055000,26.292000,26.292000,194
2021-03-22,25.955000,25.955000,25.540001,25.740999,25.740999,147
2021-03-23,25.615000,25.695000,25.094999,25.200001,25.200001,191
2021-03-24,25.250000,25.344999,25.190001,25.201000,25.201000,432
2021-03-25,25.150000,25.150000,24.504999,25.021999,25.021999,162
2021-03-26,25.184999,25.184999,25.040001,25.091999,25.091999,130
2021-03-29,24.855000,24.910000,24.510000,24.747000,24.747000,491
2021-03-30,24.700001,24.700001,23.965000,24.121000,24.121000,276
2021-03-31,24.320000,24.517000,24.320000,24.517000,24.517000,49
2021-04-01,24.350000,24.934999,24.350000,24.934999,24.934999,15
2021-04-05,24.934999,24.934999,24.763000,24.763000,24.763000,2
2021-04-06,25.049999,25.215000,25.049999,25.212000,25.212000,3
2021-04-07,25.065001,25.250000,25.065001,25.233000,25.233000,2
2021-04-08,25.569000,25.569000,25.569000,25.569000,25.569000,121
2021-04-09,25.311001,25.311001,25.311001,25.311001,25.311001,0
2021-04-12,25.145000,25.165001,24.805000,24.853001,24.853001,55
2021-04-13,25.417000,25.417000,25.417000,25.417000,25.417000,4
2021-04-14,25.514999,25.514999,25.514999,25.514999,25.514999,0
2021-04-15,25.955999,25.955999,25.955999,25.955999,25.955999,95
2021-04-16,26.099001,26.099001,26.099001,26.099001,26.099001,0
2021-04-19,26.205000,26.205000,25.830999,25.830999,25.830999,22
2021-04-20,25.855000,25.855000,25.834999,25.834999,25.834999,5
2021-04-21,26.525000,26.565001,26.525000,26.565001,26.565001,2
2021-04-22,26.340000,26.340000,26.174000,26.174000,26.174000,39
2021-04-23,26.240000,26.240000,26.025000,26.077000,26.077000,36
2021-04-26,26.059999,26.250000,26.059999,26.211000,26.211000,47
2021-04-27,26.412001,26.412001,26.412001,26.412001,26.412001,0
2021-04-28,26.080999,26.080999,26.080999,26.080999,26.080999,62061
2021-04-29,26.280001,26.545000,25.735001,26.052999,26.052999,8571
2021-04-30,26.155001,26.215000,25.840000,25.853001,25.853001,490
2021-05-03,25.875000,27.075001,25.875000,26.943001,26.943001,283
2021-05-04,27.030001,27.040001,26.250000,26.539000,26.539000,266
2021-05-05,26.555000,26.570000,26.270000,26.502001,26.502001,66
2021-05-06,26.559999,27.555000,26.555000,27.462000,27.462000,268
2021-05-07,27.635000,27.635000,27.334999,27.462000,27.462000,304
2021-05-10,27.709999,27.915001,27.370001,27.479000,27.479000,247
2021-05-11,27.285000,27.680000,27.280001,27.657000,27.657000,306
2021-05-12,27.459999,27.639999,27.231001,27.231001,27.231001,33
2021-05-13,27.120001,27.145000,26.855000,27.044001,27.044001,155
2021-05-14,27.030001,27.500000,27.030001,27.353001,27.353001,16
2021-05-17,28.260000,28.330000,28.260000,28.260000,28.260000,61
2021-05-18,28.629999,28.680000,28.313999,28.313999,28.313999,52
2021-05-19,27.809999,28.007999,27.620001,28.007999,28.007999,28
2021-05-20,27.920000,28.052000,27.719999,28.052000,28.052000,26
2021-05-21,28.080000,28.120001,27.389999,27.473000,27.473000,95
2021-05-24,27.885000,27.900000,27.740000,27.886999,27.886999,85
2021-05-25,27.750000,28.037001,27.670000,28.037001,28.037001,81
2021-05-26,27.853001,27.853001,27.853001,27.853001,27.853001,744
2021-05-27,27.754999,27.920000,27.695000,27.919001,27.919001,525
2021-05-28,27.745001,27.993000,27.540001,27.993000,27.993000,525
2021-06-01,28.059999,28.709999,27.995001,28.139999,28.139999,88612
